 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk, Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
123,1598,1,5,782,5371,782,10,782,43.22322490291532,1074,0,1074,0.25881099652400597,3849813,3753,266,0.8696687576716933,1598,10,1278,1278,0,1278,0,959,191,0,959,0,0,0,0,0,20,100,625,3128,0,1000,1025,34.48890468947867,313.84942340103714,0,0,0,0,0,0,0,0,5.0,1025,782,1074,20,0,0,0,0,0,0,1,782,5,5371,64585,45579,0,20,0,0,0,0,0,0,0,0,BENIGN
123,3209,2,2,1221,2262,610,10,610,20.91221738463006,1131,0,1131,16.009557828525033,1085425,1246,802,232.04530290737924,3209,9,2567,1283,0,2567,0,1925,962,0,1925,0,0,0,0,0,40,40,623,623,0,1000,870,0.756500992756115,182.5294200500731,0,1,0,0,1,0,0,0,1.0,870,610,1131,40,0,0,0,0,0,0,2,1221,2,2262,42608,52236,1,20,0,0,0,0,0,0,0,0,BENIGN
80,4948,1,9,799,7161,799,10,799,1.4750909749139618,795,0,795,29.72087648689183,1608857,2020,494,152.50179043107227,4948,2,3958,3958,0,3958,0,2969,329,0,2969,0,0,0,0,0,20,180,202,1818,0,1000,796,98.01809372221689,350.8045135533273,0,1,0,0,1,0,0,0,9.0,796,799,795,20,0,0,0,0,0,0,1,799,9,7161,40570,43614,0,20,0,0,0,0,0,0,0,0,BENIGN
123,1519,6,2,2559,2366,426,10,426,31.32042101649679,1183,0,1183,19.940183253784525,3241563,5264,189,325.4497833752178,1519,8,1215,202,0,1215,0,911,455,0,911,0,0,0,0,0,120,40,3948,1316,0,1000,615,46.81891796917689,261.3272003255298,0,1,0,0,1,0,0,0,0.33,615,426,1183,120,0,0,0,0,0,0,6,2559,2,2366,44355,48016,5,20,0,0,0,0,0,0,0,0,BENIGN
3306,860514,420,3,402111,105,957,0,957,0.30563983084523905,35,0,35,30.119577263462038,467414,491,2034,73.93563726435781,860514,6,688411,1639,0,688411,0,516308,172102,0,516308,0,0,0,0,0,8400,60,488,3,0,1500,950,97.10001126343948,438.56234932856563,0,1,0,0,0,0,0,0,0.01,950,957,35,8400,0,0,0,0,0,0,420,402111,3,105,51236,57187,419,20,0,0,0,0,0,0,0,0,DDoS
443,1681,7,9,4887,9458,698,10,698,40.296362767806784,1050,0,1050,34.72702087481719,8532822,9515,105,480.9121431319693,1681,1,1345,192,0,1345,0,1008,112,0,1008,0,0,0,0,0,140,180,4163,5352,0,1000,896,49.446345158532345,482.8207929085575,0,0,0,0,0,0,0,0,1.29,896,698,1050,140,0,0,0,0,0,0,7,4887,9,9458,45728,34215,6,20,0,0,0,0,0,0,0,0,BENIGN
123,2217,10,5,7608,1182,760,10,760,39.234826251795994,236,0,236,33.77580902139054,3963647,6763,147,342.9198860940315,2217,10,1774,177,0,1774,0,1330,266,0,1330,0,0,0,0,0,200,100,4508,2254,0,1000,586,25.79495178222011,409.8388239393457,0,0,0,0,0,0,0,0,0.5,586,760,236,200,0,0,0,0,0,0,10,7608,5,1182,39496,46044,9,20,0,0,0,0,0,0,0,0,BENIGN
80,313726,234,1,101531,4,433,0,433,46.22843936151302,4,0,4,1.9863628534173061,323644,749,1335,193.95534913313605,313726,7,250980,1072,0,250980,0,188235,188235,0,188235,0,0,0,0,0,4680,20,745,3,0,1500,432,60.23629236761766,808.9663951389126,0,1,0,0,0,0,0,0,0.0,432,433,4,4680,0,0,0,0,0,0,234,101531,1,4,44709,56324,233,20,0,0,0,0,0,0,0,0,DDoS
123,193,3,11,205,5441,68,10,68,29.16801102598529,494,0,494,1.5532078063862254,29166617,72307,13,552.4671949029621,193,9,154,51,0,154,0,116,10,0,116,0,0,0,0,0,60,220,15494,56813,0,1000,403,45.2319164066072,523.1197232797358,0,0,0,0,1,0,0,0,3.67,403,68,494,60,0,0,0,0,0,0,3,205,11,5441,44009,29667,2,20,0,0,0,0,0,0,0,0,BENIGN
443,353,9,1,8502,833,944,10,944,48.7867484110687,833,0,833,15.729392743272491,26430954,28312,35,83.81820191493816,353,1,282,31,0,282,0,211,211,0,211,0,0,0,0,0,180,20,25481,2831,0,1000,933,59.808426265012216,467.3644977473791,0,1,0,0,1,0,0,0,0.11,933,944,833,180,0,0,0,0,0,0,9,8502,1,833,55797,50233,8,20,0,0,0,0,0,0,0,0,BENIGN
80,3993535,376,0,302001,0,803,0,803,35.3878503544013,0,0,0,25.295704687732464,75622,94,10621,329.26742326854264,3993535,3,3194828,8496,0,3194828,0,2396121,0,0,2396121,0,0,0,0,0,7520,0,94,0,0,1500,803,12.202886860289974,792.3207231702511,0,1,0,0,0,0,0,0,0.0,803,803,0,7520,0,0,0,0,0,0,376,302001,0,0,45482,52216,375,20,0,0,0,0,0,0,0,0,DDoS
8080,1162919,207,5,271940,38,1313,0,1313,19.81093204811061,7,0,7,18.902015601814693,233876,182,5485,874.7390664044742,1162919,8,930335,4494,0,930335,0,697751,139550,0,697751,0,0,0,0,0,4140,100,178,4,0,1500,1282,43.26692632487399,424.28986335062933,0,1,0,0,0,0,0,0,0.02,1282,1313,7,4140,0,0,0,0,0,0,207,271940,5,38,55906,29423,206,20,0,0,0,0,0,0,0,0,DDoS
80,2846,7,4,3067,4082,438,10,438,48.26889672822834,1020,0,1020,48.81412129237243,2512185,3864,258,169.98001289867037,2846,9,2277,325,0,2277,0,1707,426,0,1707,0,0,0,0,0,140,80,2459,1405,0,1000,650,70.51382400938896,779.6369246213608,0,1,0,0,0,0,0,0,0.57,650,438,1020,140,0,0,0,0,0,0,7,3067,4,4082,47953,63164,6,20,0,0,0,0,0,0,0,0,BENIGN
80,2591,5,5,386,3097,77,10,77,6.734941409664436,619,0,619,41.24441518772771,1344195,3858,259,341.8033246910369,2591,2,2073,414,0,2073,0,1555,311,0,1555,0,0,0,0,0,100,100,1929,1929,0,1000,348,10.352725854747913,486.934527434387,0,0,0,0,1,0,0,0,1.0,348,77,619,100,0,0,0,0,0,0,5,386,5,3097,39580,33152,4,20,0,0,0,0,0,0,0,0,BENIGN
53,2830,1,3,805,987,805,10,805,27.603636434185262,329,0,329,22.798093121192238,633185,1412,707,222.27643961313015,2830,9,2264,2264,0,2264,0,1698,566,0,1698,0,0,0,0,0,20,60,353,1059,0,1000,448,55.24958827903635,652.2241203613859,0,1,0,0,1,0,0,0,3.0,448,805,329,20,0,0,0,0,0,0,1,805,3,987,46980,37890,0,20,0,0,0,0,0,0,0,0,BENIGN
22,4605,10,9,5379,962,537,10,537,40.70483906893985,106,0,106,10.760288602555645,1377199,4125,242,862.3258836966673,4605,4,3684,368,0,3684,0,2763,307,0,2763,0,0,0,0,0,200,180,2171,1954,0,1000,333,57.91948901756109,968.4287587464337,0,0,0,0,1,0,0,0,0.9,333,537,106,200,0,0,0,0,0,0,10,5379,9,962,63725,57848,9,20,0,0,0,0,0,0,0,0,BENIGN
80,2386,6,4,2572,2108,428,10,428,43.88766427911428,527,0,527,31.975942908011284,1961343,4189,238,402.3166793466466,2386,10,1909,318,0,1909,0,1432,358,0,1432,0,0,0,0,0,120,80,2513,1675,0,1000,468,83.95666458310357,417.4521141230423,0,1,0,0,0,0,0,0,0.67,468,428,527,120,0,0,0,0,0,0,6,2572,4,2108,64494,56533,5,20,0,0,0,0,0,0,0,0,BENIGN
443,682,9,7,6853,2898,761,10,761,15.11458761585821,414,0,414,42.11766611568966,14299192,23460,42,981.2760614459701,682,6,545,60,0,545,0,409,58,0,409,0,0,0,0,0,180,140,13196,10263,0,1000,609,31.29986195443778,908.1556040467688,0,1,0,0,0,0,0,0,0.78,609,761,414,180,0,0,0,0,0,0,9,6853,7,2898,53100,48596,8,20,0,0,0,0,0,0,0,0,BENIGN
80,704,8,8,6210,1966,776,10,776,30.47536141568921,245,0,245,24.143314634037154,11600202,22698,44,557.795339232399,704,3,563,70,0,563,0,422,52,0,422,0,0,0,0,0,160,160,11349,11349,0,1000,511,70.12915175870023,477.5633727074362,0,0,0,0,1,0,0,0,1.0,511,776,245,160,0,0,0,0,0,0,8,6210,8,1966,36877,51689,7,20,0,0,0,0,0,0,0,0,BENIGN
53,1888,7,10,4406,6124,629,10,629,27.349661454727737,612,0,612,37.848316328253055,5576390,9002,111,950.8725103340158,1888,10,1510,215,0,1510,0,1133,113,0,1133,0,0,0,0,0,140,200,3706,5295,0,1000,619,49.774662805449644,480.1237021026401,0,0,0,0,0,0,0,0,1.43,619,629,612,140,0,0,0,0,0,0,7,4406,10,6124,51513,59123,6,20,0,0,0,0,0,0,0,0,BENIGN
8080,737405,126,2,127797,17,1014,0,1014,6.450968399835682,8,0,8,22.562227531126,173330,173,5760,799.175727056582,737405,4,589924,4681,0,589924,0,442443,221221,0,442443,0,0,0,0,0,2520,40,170,2,0,1500,998,5.2850593181135945,309.8554056335845,0,1,0,0,0,0,0,0,0.02,998,1014,8,2520,0,0,0,0,0,0,126,127797,2,17,47881,49329,125,20,0,0,0,0,0,0,0,0,DDoS
80,1675,1,3,580,2846,580,10,580,47.12263465371526,948,0,948,10.892000056997569,2044899,2387,418,916.7370505571214,1675,4,1340,1340,0,1340,0,1005,335,0,1005,0,0,0,0,0,20,60,596,1790,0,1000,856,43.071390906381914,503.5782072182622,0,1,0,0,0,0,0,0,3.0,856,580,948,20,0,0,0,0,0,0,1,580,3,2846,57512,59885,0,20,0,0,0,0,0,0,0,0,BENIGN
80,656,10,8,4492,8525,449,10,449,25.827297136280325,1065,0,1065,39.16199741221295,19821847,27408,36,984.420706115778,656,4,525,52,0,525,0,394,49,0,394,0,0,0,0,0,200,160,15226,12181,0,1000,723,54.8218688825356,881.2497410373908,0,0,0,0,0,0,0,0,0.8,723,449,1065,200,0,0,0,0,0,0,10,4492,8,8525,51120,54376,9,20,0,0,0,0,0,0,0,0,BENIGN
443,3035967,312,1,302221,44,968,0,968,7.971389537458601,44,0,44,26.20314684049009,99561,103,9699,125.87788448357462,3035967,9,2428774,7784,0,2428774,0,1821580,1821580,0,1821580,0,0,0,0,0,6240,20,102,0,0,1500,965,26.12127480871176,47.89035694387689,0,1,0,0,0,0,0,0,0.0,965,968,44,6240,0,0,0,0,0,0,312,302221,1,44,56137,43962,311,20,0,0,0,0,0,0,0,0,DDoS
22,316763,16,88,1153,6006,72,0,72,28.387582288762957,68,0,68,33.01948754062799,22604,328,3045,944.4263797835797,316763,6,253410,15838,0,253410,0,190058,2159,0,190058,0,0,0,0,0,320,1760,50,277,0,1000,68,71.19728822723863,622.2491935085998,0,0,0,0,1,0,0,0,5.5,68,72,68,320,0,0,0,0,0,0,16,1153,88,6006,29590,38689,15,20,0,0,0,0,0,0,0,0,SSH-Patator
22,22,3,1,2267,198,755,10,755,6.852038737736837,198,0,198,39.071196931107934,109411556,177473,5,459.0758311923391,22,9,18,6,0,18,0,13,13,0,13,0,0,0,0,0,60,20,133105,44368,0,1000,616,42.92210432590856,674.9331095803177,0,1,0,0,1,0,0,0,0.33,616,755,198,60,0,0,0,0,0,0,3,2267,1,198,41155,50598,2,20,0,0,0,0,0,0,0,0,BENIGN
22,4367,1,11,444,10449,444,10,444,21.20740322625363,949,0,949,0.6598620319860249,2494050,2747,363,34.44175952365669,4367,5,3494,3494,0,3494,0,2620,238,0,2620,0,0,0,0,0,20,220,228,2518,0,1000,907,34.954500044240156,659.6794620194818,0,1,0,0,1,0,0,0,11.0,907,444,949,20,0,0,0,0,0,0,1,444,11,10449,47715,40010,0,20,0,0,0,0,0,0,0,0,BENIGN
8080,2099226,255,5,93234,105,365,0,365,19.403825756424336,21,0,21,23.853910972580234,44463,123,8073,818.5114646141351,2099226,5,1679380,6585,0,1679380,0,1259535,251907,0,1259535,0,0,0,0,0,5100,100,121,2,0,1500,358,56.94219847545172,630.566191075921,0,1,0,0,0,0,0,0,0.02,358,365,21,5100,0,0,0,0,0,0,255,93234,5,105,60958,30272,254,20,0,0,0,0,0,0,0,0,DDoS
22,503496,86,118,2839,8633,33,0,33,29.304044359439935,73,0,73,47.50595677107069,22787,405,2468,935.3283470140718,503496,4,402797,4683,0,402797,0,302098,2560,0,302098,0,0,0,0,0,1720,2360,170,234,0,1000,56,54.987127728515794,146.9118446616906,0,0,0,0,1,0,0,0,1.37,56,33,73,1720,0,0,0,0,0,0,86,2839,118,8633,56575,57287,85,20,0,0,0,0,0,0,0,0,SSH-Patator
80,3760,3,4,1551,4378,517,10,517,15.23022715699151,1094,0,1094,8.403357267838052,1577141,1861,537,506.25820422493894,3760,9,3008,1002,0,3008,0,2256,564,0,2256,0,0,0,0,0,60,80,797,1063,0,1000,847,26.35735445966563,580.1519286516831,0,1,0,0,1,0,0,0,1.33,847,517,1094,60,0,0,0,0,0,0,3,1551,4,4378,35686,54616,2,20,0,0,0,0,0,0,0,0,BENIGN
80,3642,4,11,2100,1204,525,10,525,22.916102191013554,109,0,109,31.088921762373072,907364,4117,242,118.6854657058517,3642,9,2914,728,0,2914,0,2185,198,0,2185,0,0,0,0,0,80,220,1098,3019,0,1000,220,28.978287261287306,319.0387731125296,0,1,0,0,0,0,0,0,2.75,220,525,109,80,0,0,0,0,0,0,4,2100,11,1204,32028,43535,3,20,0,0,0,0,0,0,0,0,BENIGN
80,4645,8,11,6831,1638,853,10,853,11.031597191159332,148,0,148,31.66894191996232,1823136,4089,244,734.7769603783921,4645,10,3716,464,0,3716,0,2787,253,0,2787,0,0,0,0,0,160,220,1721,2367,0,1000,445,2.9685716475664314,199.98329157828763,0,1,0,0,1,0,0,0,1.38,445,853,148,160,0,0,0,0,0,0,8,6831,11,1638,53964,36248,7,20,0,0,0,0,0,0,0,0,BENIGN
53,460,1,12,760,9331,760,10,760,3.710880076526313,777,0,777,37.99826820603004,21938117,28260,35,322.1026578995969,460,9,368,368,0,368,0,276,23,0,276,0,0,0,0,0,20,240,2173,26086,0,1000,776,71.36459002465901,324.0402471528946,0,1,0,0,1,0,0,0,12.0,776,760,777,20,0,0,0,0,0,0,1,760,12,9331,57201,30592,0,20,0,0,0,0,0,0,0,0,BENIGN
123,3132,2,3,1120,1211,560,10,560,40.96733586756705,403,0,403,38.51449475039559,744507,1596,626,320.3696219828778,3132,1,2505,1252,0,2505,0,1879,626,0,1879,0,0,0,0,0,40,60,638,957,0,1000,466,83.79070603462357,95.84717367461081,0,1,0,0,0,0,0,0,1.5,466,560,403,40,0,0,0,0,0,0,2,1120,3,1211,45013,55379,1,20,0,0,0,0,0,0,0,0,BENIGN
3306,1199502,131,2,160349,39,1224,0,1224,21.146940956137122,19,0,19,44.1736819555022,133712,110,9018,384.1959522748607,1199502,2,959601,7325,0,959601,0,719701,359850,0,719701,0,0,0,0,0,2620,40,109,1,0,1500,1205,13.07340211448852,450.09528158547505,0,1,0,0,0,0,0,0,0.02,1205,1224,19,2620,0,0,0,0,0,0,131,160349,2,39,36084,50718,130,20,0,0,0,0,0,0,0,0,DDoS
40846,59,1,1,0,0,0,0,0,16.654936693380446,0,0,0,21.263845339532388,0,33719,29,654.7744304626306,59,3,47,47,0,47,0,35,35,0,35,0,0,0,0,0,20,20,16859,16859,0,1000,0,42.787785038274826,838.4059533378829,0,1,0,0,0,0,0,0,1.0,0,0,0,20,0,0,0,0,0,0,1,0,1,0,40016,35716,0,20,0,0,0,0,0,0,0,0,PortScan
443,1631,10,9,6436,6999,643,10,643,42.337563609278746,777,0,777,45.083998027035726,8235696,11646,85,844.0710826922126,1631,3,1305,130,0,1305,0,978,108,0,978,0,0,0,0,0,200,180,6129,5516,0,1000,707,43.50680091763037,687.0244279779364,0,0,0,0,0,0,0,0,0.9,707,643,777,200,0,0,0,0,0,0,10,6436,9,6999,46085,46113,9,20,0,0,0,0,0,0,0,0,BENIGN
3306,1070664,163,4,156389,134,959,0,959,28.4189180949525,33,0,33,12.78685201226548,146193,155,6411,374.8276590810896,1070664,9,856531,5254,0,856531,0,642398,160599,0,642398,0,0,0,0,0,3260,80,152,3,0,1500,937,76.8456611972488,839.3906034636032,0,1,0,0,0,0,0,0,0.02,937,959,33,3260,0,0,0,0,0,0,163,156389,4,134,61029,51752,162,20,0,0,0,0,0,0,0,0,DDoS
3306,2201737,163,4,106158,88,651,0,651,1.9159050796983546,22,0,22,40.1881240199366,48256,75,13184,261.5087303392142,2201737,4,1761390,10806,0,1761390,0,1321042,330260,0,1321042,0,0,0,0,0,3260,80,74,1,0,1500,636,7.588252767571124,35.82077701194963,0,1,0,0,0,0,0,0,0.02,636,651,22,3260,0,0,0,0,0,0,163,106158,4,88,56933,37143,162,20,0,0,0,0,0,0,0,0,DDoS
53,270,7,7,3889,6682,555,10,555,2.608074142770944,954,0,954,21.507007727640808,39072141,51741,19,25.320406403112727,270,5,216,30,0,216,0,162,23,0,162,0,0,0,0,0,140,140,25870,25870,0,1000,755,46.09793744123546,143.50540714897187,0,1,0,0,1,0,0,0,1.0,755,555,954,140,0,0,0,0,0,0,7,3889,7,6682,31041,40160,6,20,0,0,0,0,0,0,0,0,BENIGN
53,2517,6,4,3600,3082,600,10,600,48.07006687103993,770,0,770,9.151251186799952,2654587,3972,251,559.6374149609735,2517,2,2013,335,0,2013,0,1510,377,0,1510,0,0,0,0,0,120,80,2383,1588,0,1000,668,51.63779882153212,984.9159773991529,0,0,0,0,0,0,0,0,0.67,668,600,770,120,0,0,0,0,0,0,6,3600,4,3082,37921,38848,5,20,0,0,0,0,0,0,0,0,BENIGN
443,2450,4,5,2162,1521,540,10,540,46.279745632401124,304,0,304,29.796748101870556,1503238,3672,272,478.8839788849162,2450,10,1960,490,0,1960,0,1470,294,0,1470,0,0,0,0,0,80,100,1632,2040,0,1000,409,45.98900662541603,905.3495100619216,0,1,0,0,1,0,0,0,1.25,409,540,304,80,0,0,0,0,0,0,4,2162,5,1521,44044,48865,3,20,0,0,0,0,0,0,0,0,BENIGN
123,2772,4,2,1504,698,376,10,376,45.742633687487135,349,0,349,42.59281495958897,794773,2163,462,748.3836813596974,2772,4,2218,554,0,2218,0,1663,831,0,1663,0,0,0,0,0,80,40,1442,721,0,1000,367,95.69488978920764,731.8918941502985,0,1,0,0,1,0,0,0,0.5,367,376,349,80,0,0,0,0,0,0,4,1504,2,698,48720,29478,3,20,0,0,0,0,0,0,0,0,BENIGN
80,1284,7,10,2971,9483,424,10,424,9.896791147914275,948,0,948,1.9705225894194323,9696302,13234,75,260.68698376296584,1284,2,1027,146,0,1027,0,770,77,0,770,0,0,0,0,0,140,200,5449,7784,0,1000,732,61.49206570768756,892.8531591874593,0,1,0,0,1,0,0,0,1.43,732,424,948,140,0,0,0,0,0,0,7,2971,10,9483,42200,49380,6,20,0,0,0,0,0,0,0,0,BENIGN
123,1099,6,5,4951,3858,825,10,825,35.94292825989616,771,0,771,29.513237197757054,8012340,10004,99,254.2786929183707,1099,3,879,146,0,879,0,659,131,0,659,0,0,0,0,0,120,100,5457,4547,0,1000,800,89.8755282211936,83.54088066362031,0,0,0,0,1,0,0,0,0.83,800,825,771,120,0,0,0,0,0,0,6,4951,5,3858,31429,38562,5,20,0,0,0,0,0,0,0,0,BENIGN
22,3677,7,2,5598,1619,799,10,799,7.363240254112441,809,0,809,33.3496144184239,1962870,2447,408,61.05877189953479,3677,3,2941,420,0,2941,0,2206,1103,0,2206,0,0,0,0,0,140,40,1903,543,0,1000,802,20.165689564804236,360.5929859424339,0,1,0,0,0,0,0,0,0.29,802,799,809,140,0,0,0,0,0,0,7,5598,2,1619,30457,39663,6,20,0,0,0,0,0,0,0,0,BENIGN
80,4532446,184,2,254590,59,1383,0,1383,28.87250053641197,29,0,29,13.948106209390392,56183,41,24367,77.90236518482996,4532446,10,3625956,19706,0,3625956,0,2719467,1359733,0,2719467,0,0,0,0,0,3680,40,40,0,0,1500,1369,8.609141125019015,733.108227015644,0,1,0,0,0,0,0,0,0.01,1369,1383,29,3680,0,0,0,0,0,0,184,254590,2,59,48477,60927,183,20,0,0,0,0,0,0,0,0,DDoS
8080,3173761,163,0,100937,0,619,0,619,38.48361131033104,0,0,0,34.40808230926763,31803,51,19470,927.5894186843585,3173761,10,2539008,15576,0,2539008,0,1904256,0,0,1904256,0,0,0,0,0,3260,0,51,0,0,1500,619,2.3237510332410394,575.7786487974781,0,1,0,0,0,0,0,0,0.0,619,619,0,3260,0,0,0,0,0,0,163,100937,0,0,36292,35363,162,20,0,0,0,0,0,0,0,0,DDoS
